epoch,train_loss,val_metric
1,2.610874281210058,0.21808304229724484
2,2.4620871543884277,0.3958090803259604
3,2.2157321467119107,0.4578967792006209
4,2.0425935317488277,0.4819557625145518
5,1.9207902971435995,0.5091191307722157
6,1.8275355521370382,0.5382227396197129
7,1.752059280872345,0.5681024447031432
8,1.687532901763916,0.5894450911913077
9,1.6334472158375908,0.6045789677920063
10,1.586972811642815,0.6138921226232052
11,1.546598914791556,0.6228172293364377
12,1.5133511108510636,0.6305781916957702
13,1.4838263217140646,0.6398913465269693
14,1.4583551813574398,0.6472642607683353
15,1.4383494503357832,0.6530849825378346
16,1.4215982977081747,0.6577415599534342
17,1.4057923064512365,0.6616220411331005
18,1.3988012390978195,0.6635622817229336
19,1.391000326941995,0.6678308110205665
20,1.388967300162596,0.6686069072564998
